video_id,task_id,rank,category_1,category_2
8MVo7fje_oE,101,1,Food and Entertaining,Sandwiches
XQUC7O-1tNw,101,2,Food and Entertaining,Sandwiches
FE49-r1_h8w,101,3,Food and Entertaining,Sandwiches
Vae8c59I6B4,205,1,Food and Entertaining,Baking
Mus_v0dHUBg,309,1,Food and Entertaining,Salads
S-W7W4V3n8g,410,1,Food and Entertaining,Burgers
Vi_eTq7K4lg,550,1,Food and Entertaining,Rice
x4l_q5L3bT8,600,1,Food and Entertaining,Eggs
4d7y7_W0Qj8,999,1,Food and Entertaining,General Cooking
j6Yd0aW7a_E,600,2,Food and Entertaining,Eggs
0sN_dJ70FvA,600,3,Food and Entertaining,Eggs
6i3a2F937C4,205,2,Food and Entertaining,Baking
e9rODVcvYZY,309,2,Food and Entertaining,Salads
1-SJGQ2HLp8,999,2,Food and Entertaining,General Cooking
5hQM7qL9-1w,410,2,Food and Entertaining,Burgers
h-3y7M2eZ_I,700,1,Food and Entertaining,Pasta
p0q1r2s3t4u,800,1,Food and Entertaining,Meat
